StatID,MatchID,PlayerID,MinutesPlayed,DistanceCoveredKM,Sprints,AvgHeartRate,MaxSpeedKMH,PassAccuracyPct,ShotsOnTarget,Tackles,Fouls,YellowCards,RedCards,MatchRating
38,3,2,82,9.55,33,133,27.9,85.47,0,2,2,1,0,8.31
39,3,30,51,10.87,26,153,30.3,83.43,0,2,0,1,1,6.42
40,3,24,61,9.31,20,173,26.13,78.64,1,3,1,0,0,7.22
41,3,15,50,12.25,43,164,33.44,74.6,0,1,0,1,1,6.14
42,3,4,58,6.76,5,165,31.53,88.47,0,2,0,0,0,6.27
43,3,8,63,7.56,6,150,28.34,84.6,3,1,1,0,0,6.0
44,3,5,100,11.54,31,137,29.06,87.2,1,6,1,0,0,8.29
45,3,9,60,9.29,28,143,28.38,91.1,0,3,0,0,0,8.26
46,3,12,62,8.08,28,165,35.9,91.44,1,2,1,0,0,7.3
47,3,11,67,4.4,8,159,26.74,81.68,1,0,0,0,0,7.04
48,3,16,42,12.27,31,148,23.77,79.7,1,3,5,0,0,6.03
49,4,8,56,9.2,19,153,24.09,88.01,0,5,1,0,0,5.43
50,4,10,74,11.63,19,166,30.12,82.02,3,3,0,0,0,7.9
51,4,29,90,8.57,36,145,26.45,77.17,2,2,0,0,0,6.5
52,4,16,58,9.39,24,137,29.65,70.85,1,0,0,0,0,8.36
53,4,17,70,9.44,22,142,24.92,96.5,2,1,2,0,0,7.96
54,4,15,60,10.99,37,152,34.76,85.04,2,4,2,0,0,7.52
55,4,19,67,9.21,32,153,31.01,79.32,1,2,2,0,0,6.67
56,4,12,77,9.09,16,155,27.07,89.87,0,5,3,0,0,6.78
57,4,27,47,10.03,19,140,34.82,89.44,0,2,0,0,0,6.2
58,4,3,64,10.0,32,137,26.3,92.99,1,1,0,0,0,7.31
59,4,28,82,12.31,48,146,29.79,62.23,1,1,1,0,0,5.46
60,4,6,94,7.43,34,151,28.49,78.96,1,3,1,1,0,7.57
61,4,13,95,10.98,34,160,29.05,78.21,0,4,2,0,0,7.58
62,4,2,55,9.21,25,154,33.45,88.37,0,2,0,0,0,7.2
63,5,8,74,11.59,25,151,33.78,86.0,0,1,2,0,0,6.35
64,5,17,79,10.79,23,164,22.13,82.42,1,3,0,0,0,7.24
65,5,21,84,11.85,16,172,33.21,75.84,0,5,1,0,0,6.51
66,5,29,89,11.76,39,145,29.15,89.86,0,0,2,0,0,6.81
67,5,6,56,9.46,31,161,28.83,86.8,3,1,1,0,0,6.74
68,5,26,83,11.76,20,164,32.26,83.59,2,1,0,0,0,6.64
69,5,5,60,10.01,38,151,28.38,73.08,0,1,0,0,0,5.7
70,5,30,79,9.92,22,126,23.77,88.5,2,1,4,0,0,6.4
71,5,3,64,11.97,29,141,32.24,76.95,0,3,0,0,0,7.54
72,5,16,94,10.28,18,147,27.47,72.86,0,1,1,0,0,7.44
73,5,11,91,5.64,14,142,23.08,79.77,0,0,1,0,0,7.07
74,5,9,26,9.68,21,156,29.66,74.06,2,1,1,1,0,4.96
75,5,14,72,8.25,44,140,27.28,83.94,1,0,1,0,0,6.07
76,5,15,69,10.16,27,140,23.39,80.26,2,3,1,1,0,6.93
77,5,25,75,9.91,29,137,33.31,88.55,1,1,1,0,0,7.16
78,5,7,31,8.23,18,161,26.18,85.63,2,2,0,0,0,7.59
79,5,2,50,6.7,22,166,30.07,72.54,3,1,1,0,0,7.73
80,5,1,79,9.42,14,147,34.06,78.59,2,1,3,0,0,5.64
81,6,2,80,13.9,20,155,29.31,79.85,0,0,4,0,0,7.33
82,6,5,95,9.94,27,132,29.21,87.76,1,2,0,0,0,7.71
83,6,21,99,11.62,47,145,36.0,73.31,3,2,3,0,0,6.33
84,6,1,70,12.5,26,153,31.36,74.7,2,4,0,0,0,7.12
85,6,9,89,11.21,38,126,27.31,87.89,1,2,2,0,0,7.15
86,6,3,71,10.11,27,165,28.15,80.51,1,4,1,0,0,6.8
87,6,29,46,9.44,22,142,27.41,89.59,1,2,0,0,0,7.1
88,6,15,95,13.01,33,147,33.86,83.79,0,2,2,0,0,7.53
89,6,30,100,9.88,14,150,23.34,68.17,0,1,2,0,0,6.8
90,6,19,79,8.62,30,133,31.97,76.75,1,5,2,0,0,6.09
91,6,27,57,8.55,12,161,32.37,86.78,1,0,0,1,0,6.82
92,6,16,86,9.46,13,140,28.26,85.42,1,1,4,0,0,7.65
93,6,23,51,10.8,33,143,30.1,83.81,0,2,1,1,0,5.68
94,6,28,55,9.63,21,161,27.45,75.13,2,2,0,0,0,7.06
95,6,17,91,8.03,31,156,34.24,77.08,0,1,0,0,0,6.95
96,6,24,75,7.19,21,130,32.89,81.78,5,4,1,0,0,6.65
97,6,6,31,12.61,33,144,26.14,87.76,2,2,0,1,0,7.34
98,6,25,54,11.0,27,169,35.28,87.81,2,1,1,0,0,6.16
99,7,9,71,7.28,29,153,23.98,95.78,1,2,0,0,0,7.24
100,7,6,79,8.1,31,178,23.18,84.32,1,1,0,0,0,7.21
101,7,1,100,9.63,33,139,32.41,70.64,3,1,1,0,0,6.87
102,7,21,71,10.8,23,135,30.81,77.52,0,1,2,0,0,6.74
103,7,18,83,7.12,17,144,29.32,80.06,1,5,2,0,0,6.56
104,7,28,85,14.95,35,174,27.29,73.1,1,1,0,0,0,7.05
105,7,20,83,8.75,24,139,28.62,92.04,1,2,4,0,0,7.03
106,7,3,88,12.2,26,159,35.78,81.57,1,2,2,0,0,6.89
107,7,30,58,11.77,26,139,30.83,81.54,0,2,0,0,0,7.95
108,7,22,88,11.86,18,164,26.84,79.22,2,1,2,0,0,6.71
109,7,5,51,11.23,37,151,29.53,81.57,3,1,1,0,0,5.43
110,7,14,73,10.85,28,158,25.37,86.65,0,2,1,1,0,6.82
111,7,23,39,9.83,22,150,26.62,91.1,1,0,0,0,0,8.63
112,7,8,53,9.93,36,132,27.04,87.2,0,1,2,0,0,7.18
113,7,12,92,10.47,24,160,36.0,81.47,1,1,0,0,0,5.82
114,7,24,85,7.54,34,139,31.28,65.8,1,6,1,0,0,6.9
115,7,26,78,10.62,20,151,29.65,74.05,0,1,4,0,0,6.16
116,7,25,75,9.9,21,148,28.25,92.61,1,2,1,0,0,7.21
117,8,5,85,9.11,26,141,32.49,86.26,0,1,0,0,0,7.12
118,8,21,88,12.85,42,155,26.76,86.44,3,1,0,0,0,6.28
119,8,8,73,13.49,32,157,25.79,85.46,0,2,1,0,0,8.25
120,8,9,65,8.27,22,150,32.28,97.0,2,1,2,0,0,6.38
121,8,4,90,3.29,12,157,24.42,66.73,0,5,1,0,0,8.35
122,8,13,44,7.84,16,153,27.81,76.76,0,2,0,1,0,5.39
123,8,19,96,12.32,17,152,32.6,86.55,0,8,1,0,0,8.01
124,8,10,93,10.36,24,144,35.2,87.05,0,4,1,0,0,7.26
125,8,18,28,5.94,2,153,26.63,87.72,1,2,0,0,0,6.28
126,8,11,80,4.57,7,154,32.24,82.97,0,3,1,0,0,6.42
127,8,2,40,10.73,28,152,29.54,78.22,0,0,3,0,0,7.34
128,8,26,53,10.33,24,157,33.7,86.5,2,0,1,0,0,7.35
129,8,24,45,11.94,33,137,26.5,87.4,1,3,1,0,0,6.27
130,8,17,83,10.83,25,149,31.26,96.19,0,1,2,0,0,7.19
131,8,1,68,12.24,27,143,36.0,94.18,0,1,1,1,0,6.25
132,8,27,87,8.42,33,157,22.66,85.33,4,2,3,0,0,6.33
133,9,26,92,8.55,38,146,31.51,84.47,0,2,0,0,0,6.86
134,9,21,55,6.68,21,166,29.65,74.01,0,1,0,0,0,6.86
135,9,2,68,8.45,19,163,31.13,83.3,1,4,0,0,0,4.68
136,9,20,62,7.8,37,161,33.37,78.85,1,3,0,0,0,8.01
137,9,24,66,10.57,33,168,25.92,76.73,0,4,1,0,0,6.06
138,9,11,50,3.32,6,150,24.55,81.76,1,3,1,0,0,6.25
139,9,30,80,9.81,16,164,29.93,91.41,0,3,3,0,0,5.48
140,9,15,80,8.12,20,135,33.07,86.69,1,4,1,0,0,7.27
141,9,7,98,11.33,24,155,30.34,88.77,2,2,0,1,0,6.71
142,9,3,43,9.74,41,157,31.56,90.87,1,3,1,0,0,6.05
143,9,18,88,5.3,15,157,30.74,91.57,1,1,0,0,0,7.91
144,9,29,68,9.81,17,135,27.3,89.35,4,3,1,0,0,7.16
145,9,27,64,10.43,26,158,28.11,84.59,1,1,1,0,0,6.93
146,9,1,97,9.28,29,158,36.0,68.96,2,2,4,0,0,5.93
147,9,8,64,10.42,25,158,34.32,79.53,1,2,0,0,0,6.95
148,9,16,55,11.27,27,152,32.11,75.26,1,2,2,0,0,7.52
149,10,20,60,9.41,41,149,25.76,85.24,2,2,1,0,0,8.22
150,10,29,89,7.77,21,155,28.29,81.97,0,1,1,0,0,9.15
151,10,2,80,8.96,34,134,23.51,92.28,0,2,1,0,0,6.08
152,10,4,46,4.38,10,147,33.54,77.66,1,2,3,0,0,6.13
153,10,26,65,10.21,26,157,32.51,81.03,0,1,0,0,0,7.02
154,10,8,79,8.09,23,158,27.4,79.58,1,0,3,0,0,7.25
155,10,28,79,9.38,30,138,31.68,74.72,3,0,2,0,0,6.35
156,10,9,56,10.56,30,111,29.62,82.48,1,3,1,0,0,6.24
157,10,14,57,13.11,40,161,28.04,86.86,4,3,0,0,0,7.98
158,10,17,65,10.06,18,145,31.67,74.89,1,0,0,0,0,8.55
159,10,7,60,9.65,22,135,25.52,73.95,0,1,1,1,0,6.2
160,10,15,61,8.02,18,162,26.29,93.03,0,1,1,0,0,6.16
161,10,10,33,10.63,38,148,28.4,91.46,2,0,0,0,0,5.96
162,10,30,35,11.03,29,150,28.2,78.03,0,1,1,0,0,7.46
163,10,27,100,12.17,29,149,25.01,85.66,1,2,1,0,0,7.29
164,10,24,75,8.32,36,146,25.81,92.46,2,6,2,0,0,7.22
165,10,11,46,6.06,0,157,32.46,73.24,1,2,2,0,0,7.43
166,10,19,88,8.65,33,147,29.76,91.06,2,3,0,0,0,7.96
167,11,26,28,10.85,24,152,30.26,65.64,1,1,3,0,0,6.58
168,11,18,100,2.77,6,159,29.99,90.88,2,2,2,0,0,5.76
169,11,30,83,10.41,23,166,31.22,82.11,1,4,2,0,0,6.08
170,11,7,74,11.34,36,148,26.72,82.85,0,2,0,1,0,7.26
171,11,20,100,11.98,23,155,30.24,84.96,1,2,1,0,0,7.19
172,11,2,43,11.9,33,159,36.0,87.19,2,2,1,0,0,7.23
173,11,24,75,13.44,25,141,33.06,65.91,2,0,0,0,0,6.46
174,11,10,95,7.83,24,149,29.07,87.15,1,1,3,0,0,5.85
175,11,16,85,11.04,19,149,27.05,83.56,0,2,1,0,0,6.0
176,11,14,56,10.65,40,150,27.96,80.62,1,1,1,0,0,7.32
177,11,19,86,11.27,35,144,33.72,95.26,0,1,2,0,0,7.14
178,11,29,48,9.13,22,146,34.76,91.17,1,1,5,0,0,5.84
179,11,23,79,8.43,27,130,27.11,79.04,1,4,2,0,0,8.31
180,11,27,64,9.9,27,146,31.56,84.04,0,1,1,0,0,6.49
181,11,3,80,8.26,35,155,29.75,82.17,1,1,0,1,0,7.4
182,11,11,80,6.74,12,153,31.34,87.5,1,1,1,0,0,5.63
183,11,6,95,11.2,27,168,36.0,73.1,1,3,2,0,0,6.42
184,12,8,59,10.03,33,146,36.0,85.19,3,2,4,0,0,6.45
185,12,1,71,7.46,33,148,27.27,79.55,2,1,2,0,0,6.32
186,12,15,76,10.19,27,170,27.28,89.44,1,0,2,0,0,8.63
187,12,22,64,9.19,21,143,26.96,94.59,1,3,1,0,0,6.87
188,12,10,90,9.3,34,147,31.14,79.46,1,2,3,0,0,6.94
189,12,26,74,9.76,22,142,29.14,78.91,1,0,1,0,0,8.29
190,12,5,59,11.29,28,139,29.94,80.2,1,2,1,0,0,6.04
191,12,20,70,9.29,33,146,33.32,79.31,0,1,1,0,0,7.57
192,12,14,74,9.4,20,144,29.37,84.51,1,4,1,0,0,6.91
193,12,21,62,7.02,27,143,31.26,86.83,2,1,3,0,0,7.11
194,12,30,75,9.59,27,147,34.02,74.42,2,0,1,1,0,7.34
195,12,28,58,9.59,14,166,33.31,85.68,2,3,2,0,0,6.36
196,12,4,71,7.38,0,118,27.93,81.55,0,3,2,0,0,7.9
197,12,24,72,10.91,22,153,36.0,72.45,0,2,1,0,0,7.91
198,12,29,70,11.41,15,162,33.65,93.65,0,2,4,0,0,5.67
199,12,12,76,10.45,16,138,28.45,75.75,1,2,3,0,0,6.27
200,13,10,95,10.17,26,155,36.0,78.77,4,1,0,0,0,7.98
201,13,15,54,8.76,20,158,36.0,78.89,0,3,0,0,0,5.9
202,13,26,88,9.29,37,135,24.63,80.04,0,4,1,0,0,6.16
203,13,5,78,11.29,0,147,32.22,73.03,1,4,0,1,0,7.01
204,13,27,73,8.33,12,134,33.44,84.83,3,2,1,0,0,7.41
205,13,1,100,8.36,16,143,29.97,89.61,0,3,0,1,0,7.58
206,13,18,93,5.59,3,144,23.81,74.82,4,3,1,0,0,7.08
207,13,12,39,10.43,24,129,27.33,75.33,1,1,0,0,0,7.68
208,13,17,72,13.45,39,155,26.85,85.02,2,2,2,0,0,7.12
209,13,29,64,11.16,29,154,29.89,84.68,1,1,0,0,0,6.93
210,13,22,71,9.29,35,154,34.53,70.46,1,4,3,0,0,6.05
211,13,11,91,5.89,20,145,31.45,83.45,0,3,2,0,0,5.91
212,13,30,67,9.9,27,159,33.78,73.27,4,4,0,0,0,6.17
213,13,7,92,12.47,30,145,33.28,89.39,0,2,1,0,0,6.61
214,13,25,65,11.15,48,135,27.52,86.56,1,1,2,0,0,6.52
215,13,13,48,10.59,21,149,27.88,74.89,0,1,1,1,0,6.53
216,13,4,76,2.0,6,166,29.52,73.9,1,5,1,0,0,5.53
217,14,8,36,12.26,41,151,23.24,86.33,1,4,2,1,0,6.53
218,14,28,66,10.04,32,151,33.7,72.49,1,4,0,0,0,6.78
219,14,29,42,10.01,32,135,29.14,80.48,1,6,0,0,0,5.25
220,14,9,61,10.76,21,165,32.69,80.72,1,4,1,0,0,7.45
221,14,2,94,10.39,38,144,30.28,82.06,0,2,1,1,0,7.72
222,14,3,57,12.91,28,153,27.41,77.08,0,2,0,0,0,6.82
223,14,6,53,7.31,25,158,35.26,77.13,2,5,0,0,0,7.82
224,14,10,70,10.14,34,152,33.46,87.84,0,3,0,0,0,6.91
225,14,15,60,10.52,30,153,27.51,74.67,0,4,0,0,0,6.67
226,14,11,68,4.93,8,149,29.41,85.98,0,1,0,0,0,7.52
227,14,1,89,5.88,25,144,29.67,77.36,0,2,0,0,0,7.47
228,14,17,37,9.52,25,118,28.68,76.48,3,2,1,0,0,6.2
229,14,21,75,9.57,33,161,27.46,80.46,0,1,5,0,0,7.46
230,14,18,81,4.18,12,164,27.48,90.12,1,1,3,0,0,7.04
231,14,25,57,11.75,31,164,22.0,83.21,3,2,1,0,0,5.34
232,14,27,58,9.71,41,154,33.66,90.88,0,3,1,0,0,7.13
233,14,24,78,11.15,27,146,33.54,90.5,0,1,3,0,0,5.58
234,15,20,91,8.72,20,167,26.42,73.88,2,2,1,0,0,4.23
235,15,19,24,6.18,28,148,28.4,74.25,1,1,0,0,0,6.91
236,15,15,63,10.49,26,156,29.04,85.85,0,2,0,0,0,7.41
237,15,22,59,12.46,39,157,22.0,84.74,1,1,0,0,0,7.33
238,15,30,73,9.12,24,160,33.06,78.1,2,2,2,0,0,7.19
239,15,21,63,9.18,16,144,30.13,90.81,1,3,2,0,0,7.2
240,15,13,80,6.65,35,155,34.04,90.24,1,2,2,0,0,6.41
241,15,9,53,7.49,26,139,29.7,72.79,3,0,1,0,0,8.5
242,15,18,87,5.62,6,153,25.32,84.45,1,1,0,0,0,6.69
243,15,24,76,10.54,30,156,27.11,89.12,2,0,1,0,0,7.46
244,15,4,36,5.94,0,148,28.87,83.44,3,1,3,0,0,6.53
245,15,29,49,12.28,32,150,30.28,85.12,0,5,2,0,0,6.99
246,15,25,50,11.07,21,146,29.29,77.5,2,1,1,0,0,7.67
247,15,8,49,13.05,44,164,27.72,84.16,1,1,3,0,0,5.49
248,15,10,83,7.71,35,147,28.03,97.0,2,3,0,0,0,6.6
249,15,14,89,7.73,26,136,29.93,81.4,3,3,1,0,0,7.02
250,15,5,76,9.5,26,167,28.94,85.81,0,1,2,0,0,7.6
251,15,27,63,8.81,30,161,27.49,76.01,0,3,3,0,0,7.85
252,16,18,70,3.14,3,157,31.19,79.44,1,2,2,0,0,6.62
253,16,14,99,10.33,46,130,26.12,75.63,0,2,3,1,0,7.18
254,16,30,70,12.7,40,151,29.21,80.15,1,4,1,0,0,7.04
255,16,28,64,9.08,16,147,28.26,82.81,2,2,2,0,0,7.12
256,16,2,80,8.58,25,152,26.09,83.95,2,3,0,0,0,6.62
257,16,21,74,9.12,42,151,31.29,83.88,1,1,0,0,0,6.47
258,16,8,40,8.85,28,133,26.09,80.87,0,0,2,0,0,6.43
259,16,13,37,10.22,40,131,25.18,77.96,1,1,2,0,0,8.49
260,16,7,59,12.87,43,154,31.77,90.35,0,3,2,0,0,7.09
261,16,11,89,3.26,0,119,27.67,81.91,3,2,4,0,0,8.25
262,16,4,53,4.18,0,135,32.73,81.77,0,4,1,0,0,6.19
263,16,1,64,10.02,21,137,31.47,67.06,1,3,2,0,0,8.15
264,16,17,61,9.23,36,152,31.81,96.69,0,4,2,0,0,6.07
265,16,26,62,9.36,18,161,31.31,77.93,1,2,1,1,0,7.08
266,17,25,58,9.33,25,136,34.27,94.34,0,5,2,0,0,6.23
267,17,17,61,10.51,10,153,31.62,78.2,2,4,2,0,0,6.55
268,17,10,71,7.88,19,168,24.23,84.96,1,1,1,0,0,7.04
269,17,23,75,8.14,32,155,27.77,96.31,2,5,3,0,0,6.66
270,17,1,38,12.1,36,163,32.45,95.19,1,2,3,1,0,5.47
271,17,11,55,7.24,0,153,26.33,76.52,1,1,1,0,0,7.37
272,17,4,60,6.21,13,142,27.0,76.96,2,1,2,0,0,6.36
273,17,14,70,11.08,35,161,26.07,83.52,1,1,1,1,0,6.11
274,17,6,71,12.5,29,148,28.89,84.32,0,0,1,0,0,6.97
275,17,2,59,9.99,30,153,29.7,86.69,0,2,0,0,0,6.22
276,17,5,74,10.09,23,126,31.66,84.9,1,2,3,0,0,7.61
277,17,30,61,9.62,29,152,34.97,86.14,1,3,1,0,0,7.88
278,17,20,68,6.39,16,157,26.56,92.45,0,2,1,0,0,7.11
279,17,22,81,11.04,13,147,36.0,78.87,1,0,0,0,0,7.11
280,18,5,92,9.92,27,140,30.72,88.62,2,2,1,0,0,7.12
281,18,12,67,9.81,19,162,36.0,80.93,5,2,0,1,0,6.19
282,18,26,89,8.72,24,147,29.81,86.84,1,2,2,0,0,7.19
283,18,11,92,3.66,1,162,36.0,75.39,1,1,0,0,0,5.96
284,18,23,65,7.81,34,111,35.38,83.07,1,2,0,0,0,5.78
285,18,17,77,7.87,32,139,26.38,80.08,0,3,1,0,0,5.61
286,18,14,40,11.22,31,146,28.28,75.54,1,3,2,0,0,7.37
287,18,20,100,13.11,18,154,24.76,67.57,1,1,1,0,0,6.24
288,18,2,90,14.67,28,159,35.59,81.66,2,3,0,0,0,7.84
289,18,27,61,10.33,19,132,29.74,78.33,1,5,1,0,0,6.21
290,18,6,98,10.38,30,146,29.68,92.45,0,1,0,0,0,5.02
291,18,3,71,9.35,31,150,26.45,79.04,1,5,1,0,0,6.84
292,18,22,75,13.82,38,152,33.58,94.59,1,3,0,0,0,8.45
293,18,16,70,7.94,27,150,29.95,85.83,0,2,0,0,0,8.17
294,18,1,90,10.36,40,161,35.57,69.26,0,1,3,1,0,6.1
295,18,7,91,10.76,32,154,31.12,91.17,1,2,4,0,0,6.55
296,19,15,76,7.02,31,145,29.38,78.86,1,1,2,0,0,7.54
297,19,12,70,11.86,31,140,32.87,82.85,1,1,3,0,0,6.7
298,19,20,51,7.8,35,146,31.44,90.33,0,2,0,0,0,6.66
299,19,27,60,8.24,31,144,28.14,85.46,2,2,0,0,0,7.97
300,19,8,73,9.83,25,151,29.27,70.58,3,4,1,1,0,7.07
301,19,9,67,11.57,22,155,32.21,91.3,0,2,1,0,0,8.08
302,19,25,57,6.69,32,136,36.0,82.09,1,2,2,0,0,6.45
303,19,23,67,12.04,32,147,34.56,82.37,1,3,1,0,0,5.97
304,19,22,81,7.01,29,153,33.61,89.25,1,0,1,0,0,6.64
305,19,14,80,9.18,24,134,28.05,73.06,0,0,1,1,0,7.41
306,19,5,45,11.38,25,147,35.16,81.07,3,4,0,0,0,6.81
307,19,4,85,6.33,10,139,29.08,82.62,1,1,1,0,0,6.61
308,19,2,47,10.56,17,134,24.22,84.33,0,2,3,0,0,6.04
309,19,28,64,9.8,26,119,26.34,79.29,1,3,0,0,0,7.57
310,19,10,90,12.68,23,176,33.1,84.24,0,6,0,1,0,6.08
311,19,7,62,12.34,29,144,34.49,97.0,1,2,1,0,0,5.69
312,20,20,66,8.0,21,160,30.37,69.63,2,1,2,0,0,7.97
313,20,17,68,10.3,28,144,25.8,90.71,0,1,1,0,0,6.82
314,20,10,56,11.06,27,130,27.55,59.83,0,1,2,0,0,7.59
315,20,8,57,6.21,27,159,30.26,88.93,0,1,2,0,0,5.95
316,20,27,67,10.04,13,140,34.02,71.52,0,0,0,0,0,6.99
317,20,4,86,2.0,10,149,32.95,70.03,0,2,3,0,0,6.8
318,20,21,71,9.92,37,144,28.71,79.99,0,4,1,0,0,7.62
319,20,9,51,9.92,33,148,36.0,90.07,0,1,3,0,0,6.95
320,20,12,70,11.17,31,130,33.27,65.76,0,1,0,0,0,7.68
321,20,5,77,8.65,16,151,29.09,85.81,0,0,1,0,0,5.67
322,20,19,75,9.45,25,131,32.28,97.0,0,1,2,0,0,6.32
323,20,2,64,13.48,17,148,34.66,77.96,1,2,1,0,0,6.2
324,20,11,58,5.72,17,165,27.05,84.27,3,5,2,0,0,6.33
325,20,28,41,8.9,34,154,33.44,79.31,0,4,0,0,0,5.89
326,20,1,78,9.91,12,124,26.37,74.91,1,3,2,0,0,7.05
327,20,24,70,10.58,37,138,28.12,82.67,0,0,1,0,0,6.76
328,20,18,67,3.65,13,148,29.61,95.19,1,3,1,0,0,5.81
329,21,6,83,10.14,30,139,31.12,74.86,1,1,1,0,0,7.65
330,21,3,100,10.3,33,153,29.12,82.12,3,1,2,0,0,6.97
331,21,10,62,8.88,12,147,29.98,87.77,0,3,0,0,0,8.31
332,21,19,100,12.48,26,147,29.09,73.68,2,1,1,0,0,7.19
333,21,1,73,9.28,31,153,24.81,74.88,0,4,2,0,0,6.95
334,21,2,64,12.41,25,144,25.9,90.26,2,3,0,0,0,7.25
335,21,22,76,12.62,33,157,33.73,82.49,1,2,1,0,0,6.96
336,21,13,80,12.12,32,160,30.25,80.96,2,5,1,1,0,7.8
337,21,4,94,2.0,11,155,29.65,81.06,1,1,5,0,0,6.72
338,21,30,65,11.64,33,164,29.3,75.55,2,2,1,0,0,6.85
339,21,18,72,7.52,8,133,32.37,84.11,0,0,3,0,0,7.09
340,21,20,100,10.07,20,150,32.98,93.22,3,2,0,0,0,6.24
341,21,23,77,10.3,24,157,32.75,75.49,3,3,1,0,0,6.75
342,21,5,75,10.69,22,172,25.09,73.83,2,3,1,1,0,7.43
343,21,24,95,9.1,35,143,26.99,68.29,1,3,1,0,0,7.24
344,21,25,71,8.68,15,146,33.48,86.51,1,1,3,0,0,6.25
345,21,26,87,11.28,20,131,28.02,88.92,2,3,3,0,0,6.85
346,21,11,93,4.33,2,141,33.79,73.3,1,4,4,0,0,6.34
347,22,27,68,8.35,17,147,30.5,80.27,1,4,1,0,0,7.45
348,22,24,66,8.86,25,150,27.7,79.81,3,3,1,0,0,6.16
349,22,11,56,8.02,4,160,36.0,79.83,2,0,0,0,0,7.2
350,22,21,66,12.01,26,172,28.5,70.97,1,3,0,1,0,6.83
351,22,6,95,12.32,32,158,28.05,90.66,1,4,0,0,0,7.05
352,22,19,53,12.28,33,141,30.42,85.94,3,1,1,0,0,6.68
353,22,12,100,9.97,37,140,27.24,91.05,0,7,0,0,0,6.77
354,22,3,82,9.88,33,151,27.29,75.32,1,2,0,0,0,7.94
355,22,16,50,8.41,29,148,33.63,97.0,2,0,0,0,0,7.46
356,22,13,62,6.18,36,150,29.14,77.27,1,1,4,0,0,6.39
357,22,17,73,11.72,25,145,25.86,55.13,1,3,2,0,0,7.72
358,22,28,51,10.45,40,155,28.52,72.42,1,2,2,0,0,7.59
359,22,30,82,11.03,30,138,24.74,88.8,2,1,3,0,0,7.22
360,22,22,49,11.17,38,163,36.0,87.64,1,5,0,1,0,5.25
361,22,4,66,6.24,13,152,30.19,92.94,1,2,1,0,0,6.54
362,22,26,47,7.46,20,159,27.29,93.17,1,6,0,0,0,6.5
